trace,ja4_protocol,ja4_version,ja4_sni,ja4_cipher_count,ja4_ext_count,ja4_alpn_code,ja4_b,ja4_c,tls_version,negotiated_proto,cipher_count,cipher_no_grease_str,curve_count,curve_no_grease_str,sig_count,sig_no_grease_str,cipher_has_grease,curve_has_grease,has_pq_crypto,alpn_first,alpn_count,alpn_preference,alpn_has_h2,alpn_has_http11,alpn_h2_position,alpn_offered_str,supported_ver_profile,supported_ver_count,supported_ver_has_tls13,supported_ver_has_tls12,supported_ver_has_tls11,supported_ver_has_grease,supported_ver_13_before_12,supported_ver_names,supported_ver_str,ak_window_update,ak_pseudo_order,ak_header_table,ak_enable_push,ak_init_window,ak_max_header_list,ak_settings_str,sni_present
trial-011,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-012,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-013,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-014,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-015,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-016,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-017,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-018,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-019,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-020,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-021,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
trial-022,t,13,d,15,16,h2,8daaf6152771,d8a2da3f94cd,TLS 1.3,h2,15,TLS_AES_128_GCM_SHA256_TLS_AES_256_GCM_SHA384_TLS_CHACHA20_POLY1305_SHA256_ECDHE-ECDSA-AES128-GCM_ECDHE-RSA-AES128-GCM_ECDHE-ECDSA-AES256-GCM_ECDHE-RSA-AES256-GCM_ECDHE-ECDSA-CHACHA20_ECDHE-RSA-CHACHA20_ECDHE-RSA-AES128-CBC_ECDHE-RSA-AES256-CBC_RSA-AES128-GCM_RSA-AES256-GCM_RSA-AES128-CBC_RSA-AES256-CBC,4,X25519MLKEM768_x25519_secp256r1_secp384r1,8,ecdsa_secp256r1_sha256_rsa_pss_rsae_sha256_rsa_pkcs1_sha256_ecdsa_secp384r1_sha384_rsa_pss_rsae_sha384_rsa_pkcs1_sha384_rsa_pss_rsae_sha512_rsa_pkcs1_sha512,True,True,True,h2,2,h2_first,True,True,0.0,"h2,http/1.1",TLS1.3+TLS1.2,2,True,True,False,True,True,"TLS 1.3,TLS 1.2","2570,772,771",15663105.0,"m,a,s,p",65536.0,0.0,6291456.0,262144.0,1:65536;2:0;4:6291456;6:262144,True
